Date,Symbols,Close,High,Low,Open,Volume
2024-12-11,AMZN,230.26,231.2,226.26,226.41,35385785.0
2024-12-11,GOOGL,195.4,195.61,184.85,185.31,67894071.0
2024-12-11,META,632.68,638.4,621.5349,623.37,10837228.0
2024-12-11,PFE,25.23,25.5137,25.17,25.38,39569365.0
2024-12-11,BNTX,119.34,121.88,118.58,119.96,679018.0
2024-12-11,MRNA,42.86,43.25,41.0604,41.9,5619301.0
2024-12-10,AMZN,225.04,229.06,224.2002,226.09,31199864.0
2024-12-10,GOOGL,185.17,186.36,181.05,182.845,54813022.0
2024-12-10,META,619.32,625.59,612.74,617.56,10938854.0
2024-12-10,PFE,25.57,26.11,25.51,26.1,43280545.0
2024-12-10,BNTX,116.85,123.29,116.73,121.29,554593.0
2024-12-10,MRNA,41.51,45.49,41.055,45.36,10482673.0
2024-12-09,AMZN,226.09,230.08,225.67,227.21,46819363.0
2024-12-09,GOOGL,175.37,176.26,173.65,173.96,25389631.0
2024-12-09,META,613.57,626.4,606.1701,623.925,11426015.0
2024-12-09,PFE,26.1,26.44,25.58,25.76,37464823.0
2024-12-09,BNTX,120.82,122.08,119.2,121.19,538537.0
2024-12-09,MRNA,45.65,47.4126,44.1001,44.77,7292460.0
2024-12-06,AMZN,227.03,227.15,220.6,220.75,44178069.0
2024-12-06,GOOGL,174.71,175.08,171.86,172.03,21462393.0
2024-12-06,META,623.77,629.7899,608.53,610.1,16935503.0
2024-12-06,PFE,25.73,26.1,25.59,25.74,31830727.0
2024-12-06,BNTX,121.72,125.4,119.34,120.28,992446.0
2024-12-06,MRNA,44.44,46.62,43.16,43.52,8742718.0
2024-12-05,AMZN,220.55,222.15,217.3,218.03,41140220.0
2024-12-05,GOOGL,172.64,176.06,172.33,175.36,21356243.0
2024-12-05,META,608.93,619.9,607.05,617.075,8081212.0
2024-12-05,PFE,25.7,25.79,25.14,25.23,43647885.0
2024-12-05,BNTX,118.84,120.67,112.96,114.26,706910.0
2024-12-05,MRNA,42.94,44.45,41.745,41.9,8084242.0
2024-12-04,AMZN,218.16,220.0,215.75,215.96,48745716.0
